epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.782,1.52084,1.07107,1.64825,0.76465,0.85843,0.88074,0.46891,1.59072,1.14205,1.90496,0.0698032,0.00311094,0.00311094
2,804.355,1.43732,0.86141,1.60497,0.91063,0.93133,0.96291,0.55182,1.4591,0.80116,1.75773,0.0383508,0.00499187,0.00499187
3,1167.28,1.31975,0.73426,1.52265,0.86722,0.86866,0.92601,0.53473,1.47626,0.77398,1.72638,0.0056655,0.00563992,0.00563992
4,1525.86,1.22122,0.63871,1.45628,0.96834,0.97926,0.99197,0.7209,1.03924,0.5092,1.40764,0.00379204,0.00379204,0.00379204
5,1883.73,1.1295,0.56412,1.39554,0.9845,0.98694,0.99381,0.75721,0.93444,0.44225,1.31283,0.00194272,0.00194272,0.00194272
