epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.508,1.53957,1.09376,1.67685,0.77542,0.76997,0.83111,0.431,1.74106,1.01954,2.05279,0.070083,0.00339073,0.00339073
2,815.024,1.43961,0.86111,1.61782,0.73891,0.66731,0.75018,0.40985,1.71358,1.14753,1.98639,0.0387997,0.00544082,0.00544082
3,1180.58,1.32749,0.72747,1.53577,0.91707,0.94276,0.97438,0.62885,1.25707,0.65172,1.70391,0.00617273,0.00614715,0.00614715
4,1540.04,1.22304,0.63015,1.46213,0.97567,0.98571,0.99308,0.72769,1.01615,0.48448,1.46728,0.00413308,0.00413308,0.00413308
5,1900.88,1.12662,0.55395,1.39792,0.98362,0.99165,0.99362,0.7772,0.92879,0.42007,1.34369,0.00211744,0.00211744,0.00211744
