epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.248,1.5344,1.08576,1.64069,0.80588,0.82412,0.88354,0.48439,1.52097,0.9988,1.74293,0.0699831,0.00329081,0.00329081
2,806.21,1.44337,0.86174,1.58275,0.86724,0.89017,0.92736,0.52322,1.46483,0.84477,1.72038,0.0386394,0.00528048,0.00528048
3,1171.71,1.32997,0.74115,1.50483,0.97355,0.97547,0.99003,0.67895,1.17501,0.62655,1.38216,0.00599158,0.00596599,0.00596599
4,1530.8,1.23378,0.6451,1.43828,0.97233,0.98522,0.9919,0.73056,1.00289,0.49657,1.30348,0.00401128,0.00401128,0.00401128
5,1890.49,1.13696,0.56392,1.37327,0.98471,0.99002,0.99413,0.77002,0.93501,0.4453,1.27213,0.00205504,0.00205504,0.00205504
