epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.524,1.74276,1.09446,1.28096,0.80259,0.85445,0.88537,0.47386,1.73831,0.88917,1.23257,0.0699831,0.00329081,0.00329081
2,804.512,1.64979,0.88935,1.2436,0.88924,0.91897,0.95295,0.57655,1.5184,1.01375,1.18131,0.0386394,0.00528048,0.00528048
3,1169.27,1.5378,0.77207,1.18542,0.97637,0.98387,0.9891,0.69575,1.22986,0.57811,1.02973,0.00599158,0.00596599,0.00596599
4,1528.41,1.42814,0.68189,1.13919,0.98924,0.98876,0.99293,0.73066,1.19278,0.48827,0.97389,0.00401128,0.00401128,0.00401128
5,1887.13,1.32815,0.60349,1.0916,0.98864,0.99194,0.99396,0.76289,1.09318,0.43209,0.92559,0.00205504,0.00205504,0.00205504
