epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.441,1.49296,1.13902,1.60124,0.82614,0.79378,0.85851,0.34432,1.92412,1.34336,2.34753,0.070023,0.00333078,0.00333078
2,818.671,1.39978,0.88882,1.55247,0.94621,0.95584,0.98155,0.63209,1.21731,0.68229,1.65035,0.0387035,0.00534461,0.00534461
3,1188.3,1.29733,0.75817,1.47523,0.97367,0.97968,0.9884,0.63931,1.24351,0.58985,1.64936,0.00606404,0.00603845,0.00603845
4,1552.94,1.19675,0.65906,1.40839,0.97988,0.99102,0.99285,0.73777,0.98665,0.45775,1.43698,0.00406,0.00406,0.00406
5,1916.11,1.10776,0.57837,1.34825,0.98438,0.99232,0.99393,0.76365,0.92271,0.41779,1.3738,0.00208,0.00208,0.00208
